"","uniprot","genesymbol","pathway","pathway_id"
"40","O95257","GADD45G","MAPK signaling pathway","hsa04010"
"41","Q13153","PAK1","MAPK signaling pathway","hsa04010"
"42","Q92918","MAP4K1","MAPK signaling pathway","hsa04010"
"43","O95819","MAP4K4","MAPK signaling pathway","hsa04010"
"44","Q8IVH8","MAP4K3","MAPK signaling pathway","hsa04010"
"45","Q12852","MAP3K12","MAPK signaling pathway","hsa04010"
"46","O43283","MAP3K13","MAPK signaling pathway","hsa04010"
"47","Q9NYL2","MAP3K20","MAPK signaling pathway","hsa04010"
"48","Q99683","MAP3K5","MAPK signaling pathway","hsa04010"
"49","O43318","MAP3K7","MAPK signaling pathway","hsa04010"
"50","O95382","MAP3K6","MAPK signaling pathway","hsa04010"
"51","P46734","MAP2K3","MAPK signaling pathway","hsa04010"
"52","P52564","MAP2K6","MAPK signaling pathway","hsa04010"
"53","Q16539","MAPK14","MAPK signaling pathway","hsa04010"
"54","Q8IW41","MAPKAPK5","MAPK signaling pathway","hsa04010"
"55","Q16644","MAPKAPK3","MAPK signaling pathway","hsa04010"
"56","O75676","RPS6KA4","MAPK signaling pathway","hsa04010"
"57","Q13163","MAP2K5","MAPK signaling pathway","hsa04010"
"58","Q13164","MAPK7","MAPK signaling pathway","hsa04010"
"59","P41279","MAP3K8","MAPK signaling pathway","hsa04010"
"60","Q13233","MAP3K1","MAPK signaling pathway","hsa04010"
"61","Q08209","PPP3CA","MAPK signaling pathway","hsa04010"
"62","O00622","CCN1","MAPK signaling pathway","hsa04010"
"63","Q9Y243","AKT3","MAPK signaling pathway","hsa04010"
"64","Q15283","RASA2","MAPK signaling pathway","hsa04010"
"65","P21359","NF1","MAPK signaling pathway","hsa04010"
"66","P20936","RASA1","MAPK signaling pathway","hsa04010"
"67","P51452","DUSP3","MAPK signaling pathway","hsa04010"
"68","Q9Y6W6","DUSP10","MAPK signaling pathway","hsa04010"
"69","P35813","PPM1A","MAPK signaling pathway","hsa04010"
"70","P53041","PPP5C","MAPK signaling pathway","hsa04010"
"71","O75688","PPM1B","MAPK signaling pathway","hsa04010"
"72","Q03112","MECOM","MAPK signaling pathway","hsa04010"
"73","P0DMV8","HSPA1A","MAPK signaling pathway","hsa04010"
"74","P08571","CD14","MAPK signaling pathway","hsa04010"
"75","Q99558","MAP3K14","MAPK signaling pathway","hsa04010"
"76","O15111","CHUK","MAPK signaling pathway","hsa04010"
"77","Q15750","TAB1","MAPK signaling pathway","hsa04010"
"78","P19438","TNFRSF1A","MAPK signaling pathway","hsa04010"
"79","Q15628","TRADD","MAPK signaling pathway","hsa04010"
"80","P14778","IL1R1","MAPK signaling pathway","hsa04010"
"81","Q99836","MYD88","MAPK signaling pathway","hsa04010"
"82","P51617","IRAK1","MAPK signaling pathway","hsa04010"
"83","Q9Y4K3","TRAF6","MAPK signaling pathway","hsa04010"
"84","P09603","CSF1","MAPK signaling pathway","hsa04010"
"85","P10398","ARAF","MAPK signaling pathway","hsa04010"
"86","Q9Y6R4","MAP3K4","MAPK signaling pathway","hsa04010"
"87","Q9H2K8","TAOK3","MAPK signaling pathway","hsa04010"
"88","P19174","PLCG1","ErbB signaling pathway","hsa04012"
"89","P42336","PIK3CA","ErbB signaling pathway","hsa04012"
"90","P01133","EGF","ErbB signaling pathway","hsa04012"
"91","P01135","TGFA","ErbB signaling pathway","hsa04012"
"92","P15514","AREG","ErbB signaling pathway","hsa04012"
"93","P10275","AR","ErbB signaling pathway","hsa04012"
"94","P35070","BTC","ErbB signaling pathway","hsa04012"
"95","Q99075","HBEGF","ErbB signaling pathway","hsa04012"
"96","O14944","EREG","ErbB signaling pathway","hsa04012"
"97","Q02297","NRG1","ErbB signaling pathway","hsa04012"
"98","P04196","HRG","ErbB signaling pathway","hsa04012"
"99","O14511","NRG2","ErbB signaling pathway","hsa04012"
"100","P56975","NRG3","ErbB signaling pathway","hsa04012"
"101","Q8WWG1","NRG4","ErbB signaling pathway","hsa04012"
"102","P00533","EGFR","ErbB signaling pathway","hsa04012"
"103","P21860","ERBB3","ErbB signaling pathway","hsa04012"
"104","P12931","SRC","ErbB signaling pathway","hsa04012"
"105","P46108","CRK","ErbB signaling pathway","hsa04012"
"106","O14733","MAP2K7","ErbB signaling pathway","hsa04012"
"107","P45983","MAPK8","ErbB signaling pathway","hsa04012"
"108","P98077","SHC2","ErbB signaling pathway","hsa04012"
"109","P62993","GRB2","ErbB signaling pathway","hsa04012"
"110","Q07889","SOS1","ErbB signaling pathway","hsa04012"
"111","P14210","HGF","ErbB signaling pathway","hsa04012"
"112","P01112","HRAS","ErbB signaling pathway","hsa04012"
"113","P01116","KRAS","ErbB signaling pathway","hsa04012"
"114","P10398","ARAF","ErbB signaling pathway","hsa04012"
"115","Q02750","MAP2K1","ErbB signaling pathway","hsa04012"
"116","P28482","MAPK1","ErbB signaling pathway","hsa04012"
"117","Q15303","ERBB4","ErbB signaling pathway","hsa04012"
"118","Q13480","GAB1","ErbB signaling pathway","hsa04012"
"119","Q9Y243","AKT3","ErbB signaling pathway","hsa04012"
"120","P42345","MTOR","ErbB signaling pathway","hsa04012"
"121","P09603","CSF1","Ras signaling pathway","hsa04014"
"122","P07333","CSF1R","Ras signaling pathway","hsa04014"
"123","P98077","SHC2","Ras signaling pathway","hsa04014"
"124","P62993","GRB2","Ras signaling pathway","hsa04014"
"125","Q07889","SOS1","Ras signaling pathway","hsa04014"
"126","P14210","HGF","Ras signaling pathway","hsa04014"
"127","P43403","ZAP70","Ras signaling pathway","hsa04014"
"128","O43561","LAT","Ras signaling pathway","hsa04014"
"129","O95267","RASGRP1","Ras signaling pathway","hsa04014"
"130","P34969","HTR7","Ras signaling pathway","hsa04014"
"131","O14775","GNB5","Ras signaling pathway","hsa04014"
"132","Q13972","RASGRF1","Ras signaling pathway","hsa04014"
"133","Q8TD86","CALML6","Ras signaling pathway","hsa04014"
"134","P17612","PRKACA","Ras signaling pathway","hsa04014"
"135","P21359","NF1","Ras signaling pathway","hsa04014"
"136","P62070","RRAS2","Ras signaling pathway","hsa04014"
"137","Q9NS23","RASSF1","Ras signaling pathway","hsa04014"
"138","Q8WWW0","RASSF5","Ras signaling pathway","hsa04014"
"139","Q86WH2","RASSF3","Ras signaling pathway","hsa04014"
"140","Q13043","STK4","Ras signaling pathway","hsa04014"
"141","P26927","MST1","Ras signaling pathway","hsa04014"
"142","Q13009","TIAM1","Ras signaling pathway","hsa04014"
"143","P63000","RAC1","Ras signaling pathway","hsa04014"
"144","P42336","PIK3CA","Ras signaling pathway","hsa04014"
"145","Q9Y243","AKT3","Ras signaling pathway","hsa04014"
"146","O15111","CHUK","Ras signaling pathway","hsa04014"
"147","Q92934","BAD","Ras signaling pathway","hsa04014"
"148","P98177","FOXO4","Ras signaling pathway","hsa04014"
"149","P04049","RAF1","Ras signaling pathway","hsa04014"
"150","Q02750","MAP2K1","Ras signaling pathway","hsa04014"
"151","P28482","MAPK1","Ras signaling pathway","hsa04014"
"152","Q92565","RAPGEF5","Ras signaling pathway","hsa04014"
"153","Q12967","RALGDS","Ras signaling pathway","hsa04014"
"154","Q9NZL6","RGL1","Ras signaling pathway","hsa04014"
"155","O15211","RGL2","Ras signaling pathway","hsa04014"
"156","P11233","RALA","Ras signaling pathway","hsa04014"
"157","Q96KP1","EXOC2","Ras signaling pathway","hsa04014"
"158","Q9UHD2","TBK1","Ras signaling pathway","hsa04014"
"159","Q15311","RALBP1","Ras signaling pathway","hsa04014"
"160","P60953","CDC42","Ras signaling pathway","hsa04014"
"161","Q13671","RIN1","Ras signaling pathway","hsa04014"
"162","P62330","ARF6","Ras signaling pathway","hsa04014"
"163","P01112","HRAS","Ras signaling pathway","hsa04014"
"164","O14807","MRAS","Ras signaling pathway","hsa04014"
"165","P10301","RRAS","Ras signaling pathway","hsa04014"
"166","Q9UQ13","SHOC2","Ras signaling pathway","hsa04014"
"167","Q6GYQ0","RALGAPA1","Ras signaling pathway","hsa04014"
"168","P21554","CNR1","Rap1 signaling pathway","hsa04015"
"169","P47736","RAP1GAP","Rap1 signaling pathway","hsa04015"
"170","O43166","SIPA1L1","Rap1 signaling pathway","hsa04015"
"171","Q96FS4","SIPA1","Rap1 signaling pathway","hsa04015"
"172","Q9P2F8","SIPA1L2","Rap1 signaling pathway","hsa04015"
"173","Q92565","RAPGEF5","Rap1 signaling pathway","hsa04015"
"174","Q8N1I0","DOCK4","Rap1 signaling pathway","hsa04015"
"175","O95398","RAPGEF3","Rap1 signaling pathway","hsa04015"
"176","Q8IV61","RASGRP3","Rap1 signaling pathway","hsa04015"
"177","Q7LDG7","RASGRP2","Rap1 signaling pathway","hsa04015"
"178","Q13905","RAPGEF1","Rap1 signaling pathway","hsa04015"
"179","Q8TEU7","RAPGEF6","Rap1 signaling pathway","hsa04015"
"180","O94806","PRKD3","Rap1 signaling pathway","hsa04015"
"181","Q8TD86","CALML6","Rap1 signaling pathway","hsa04015"
"182","P29274","ADORA2A","Rap1 signaling pathway","hsa04015"
"183","P84996","GNAS","Rap1 signaling pathway","hsa04015"
"184","O95467","GNAS","Rap1 signaling pathway","hsa04015"
"185","P63092","GNAS","Rap1 signaling pathway","hsa04015"
"186","Q5JWF2","GNAS","Rap1 signaling pathway","hsa04015"
"187","P50148","GNAQ","Rap1 signaling pathway","hsa04015"
"188","Q7Z7K0","CMC1","Rap1 signaling pathway","hsa04015"
"189","P09603","CSF1","Rap1 signaling pathway","hsa04015"
"190","P07333","CSF1R","Rap1 signaling pathway","hsa04015"
"191","P46108","CRK","Rap1 signaling pathway","hsa04015"
"192","P56945","BCAR1","Rap1 signaling pathway","hsa04015"
"193","P12830","CDH1","Rap1 signaling pathway","hsa04015"
"194","P35222","CTNNB1","Rap1 signaling pathway","hsa04015"
"195","Q5TCQ9","MAGI3","Rap1 signaling pathway","hsa04015"
"196","P17252","PRKCA","Rap1 signaling pathway","hsa04015"
"197","Q12967","RALGDS","Rap1 signaling pathway","hsa04015"
"198","Q7Z5R6","APBB1IP","Rap1 signaling pathway","hsa04015"
"199","Q9Y490","TLN1","Rap1 signaling pathway","hsa04015"
"200","Q9UI08","EVL","Rap1 signaling pathway","hsa04015"
"201","Q8WWN8","ARAP3","Rap1 signaling pathway","hsa04015"
"202","P61586","RHOA","Rap1 signaling pathway","hsa04015"
"203","P60953","CDC42","Rap1 signaling pathway","hsa04015"
"204","P55196","AFDN","Rap1 signaling pathway","hsa04015"
"205","O60716","CTNND1","Rap1 signaling pathway","hsa04015"
"206","O00522","KRIT1","Rap1 signaling pathway","hsa04015"
"207","O43566","RGS14","Rap1 signaling pathway","hsa04015"
"208","Q8WWW0","RASSF5","Rap1 signaling pathway","hsa04015"
"209","Q86WH2","RASSF3","Rap1 signaling pathway","hsa04015"
"210","P15056","BRAF","Rap1 signaling pathway","hsa04015"
"211","P04049","RAF1","Rap1 signaling pathway","hsa04015"
"212","Q02750","MAP2K1","Rap1 signaling pathway","hsa04015"
"213","P46734","MAP2K3","Rap1 signaling pathway","hsa04015"
"214","P42336","PIK3CA","Rap1 signaling pathway","hsa04015"
"215","P62834","RAP1A","Rap1 signaling pathway","hsa04015"
"216","P01112","HRAS","Rap1 signaling pathway","hsa04015"
"217","O14807","MRAS","Rap1 signaling pathway","hsa04015"
"218","P41134","ID1","Rap1 signaling pathway","hsa04015"
"219","P49768","PSEN1","Wnt signaling pathway","hsa04310"
"220","Q13485","SMAD4","Wnt signaling pathway","hsa04310"
"221","O43318","MAP3K7","Wnt signaling pathway","hsa04310"
"222","Q9UBE8","NLK","Wnt signaling pathway","hsa04310"
"223","Q9ULW2","FZD10","Wnt signaling pathway","hsa04310"
"224","P04637","TP53","Wnt signaling pathway","hsa04310"
"225","O14640","DVL1","Wnt signaling pathway","hsa04310"
"226","P61586","RHOA","Wnt signaling pathway","hsa04310"
"227","Q92765","FRZB","Wnt signaling pathway","hsa04310"
"228","O94907","DKK1","Wnt signaling pathway","hsa04310"
"229","Q9H2H0","CXXC4","Wnt signaling pathway","hsa04310"
"230","Q9HC62","SENP2","Wnt signaling pathway","hsa04310"
"231","Q9NSA3","CTNNBIP1","Wnt signaling pathway","hsa04310"
"232","Q9H6I2","SOX17","Wnt signaling pathway","hsa04310"
"233","Q9HCK8","CHD8","Wnt signaling pathway","hsa04310"
"234","A0A1W2PR48","TLE7","Wnt signaling pathway","hsa04310"
"235","Q13363","CTBP1","Wnt signaling pathway","hsa04310"
"236","Q92793","CREBBP","Wnt signaling pathway","hsa04310"
"237","Q9Y265","RUVBL1","Wnt signaling pathway","hsa04310"
"238","P17612","PRKACA","Wnt signaling pathway","hsa04310"
"239","O75581","LRP6","Wnt signaling pathway","hsa04310"
"240","O15169","AXIN1","Wnt signaling pathway","hsa04310"
"241","Q8N752","CSNK1A1L","Wnt signaling pathway","hsa04310"
"242","O95996","APC2","Wnt signaling pathway","hsa04310"
"243","O60907","TBL1X","Wnt signaling pathway","hsa04310"
"244","Q9UKB1","FBXW11","Wnt signaling pathway","hsa04310"
"245","Q969G9","NKD1","Wnt signaling pathway","hsa04310"
"246","O96014","WNT11","Wnt signaling pathway","hsa04310"
"247","P63000","RAC1","Wnt signaling pathway","hsa04310"
"248","Q9NQ66","PLCB1","Wnt signaling pathway","hsa04310"
"249","Q08209","PPP3CA","Wnt signaling pathway","hsa04310"
"250","O00622","CCN1","Wnt signaling pathway","hsa04310"
"251","P35222","CTNNB1","Wnt signaling pathway","hsa04310"
"252","Q96MT3","PRICKLE1","Wnt signaling pathway","hsa04310"
"253","P41221","WNT5A","Wnt signaling pathway","hsa04310"
"254","Q9UJU2","LEF1","Wnt signaling pathway","hsa04310"
"255","P49841","GSK3B","Wnt signaling pathway","hsa04310"
"256","Q13145","BAMBI","Wnt signaling pathway","hsa04310"
"257","Q9BQB4","SOST","Wnt signaling pathway","hsa04310"
"258","P36955","SERPINF1","Wnt signaling pathway","hsa04310"
"259","Q9Y283","INVS","Wnt signaling pathway","hsa04310"
"260","Q8IUQ4","SIAH1","Wnt signaling pathway","hsa04310"
"261","Q9HB71","CACYBP","Wnt signaling pathway","hsa04310"
"262","P63208","SKP1","Wnt signaling pathway","hsa04310"
"263","Q13616","CUL1","Wnt signaling pathway","hsa04310"
"264","Q2MKA7","RSPO1","Wnt signaling pathway","hsa04310"
"265","Q68DV7","RNF43","Wnt signaling pathway","hsa04310"
"266","Q9ULT6","ZNRF3","Wnt signaling pathway","hsa04310"
"267","Q9UQB3","CTNND2","Wnt signaling pathway","hsa04310"
"268","Q8J025","APCDD1","Wnt signaling pathway","hsa04310"
"269","Q9NYJ7","DLL3","Notch signaling pathway","hsa04330"
"270","P46531","NOTCH1","Notch signaling pathway","hsa04330"
"271","P78536","ADAM17","Notch signaling pathway","hsa04330"
"272","Q9Y3Q7","ADAM18","Notch signaling pathway","hsa04330"
"273","Q8NES3","LFNG","Notch signaling pathway","hsa04330"
"274","Q9UBG7","RBPJL","Notch signaling pathway","hsa04330"
"275","P78504","JAG1","Notch signaling pathway","hsa04330"
"276","O14640","DVL1","Notch signaling pathway","hsa04330"
"277","P49757","NUMB","Notch signaling pathway","hsa04330"
"278","P0C7T5","ATXN1L","Notch signaling pathway","hsa04330"
"279","Q13635","PTCH1","Hedgehog signaling pathway","hsa04340"
"280","P08151","GLI1","Hedgehog signaling pathway","hsa04340"
"281","P17612","PRKACA","Hedgehog signaling pathway","hsa04340"
"282","Q13616","CUL1","Hedgehog signaling pathway","hsa04340"
"283","Q96QV1","HHIP","Hedgehog signaling pathway","hsa04340"
"284","Q99835","SMO","Hedgehog signaling pathway","hsa04340"
"285","Q14623","IHH","Hedgehog signaling pathway","hsa04340"
"286","Q13618","CUL3","Hedgehog signaling pathway","hsa04340"
"287","P49407","ARRB1","Hedgehog signaling pathway","hsa04340"
"288","Q86UK5","EVC2","Hedgehog signaling pathway","hsa04340"
"289","Q9Y496","KIF3A","Hedgehog signaling pathway","hsa04340"
"290","P25098","GRK2","Hedgehog signaling pathway","hsa04340"
"291","Q8NHV5","MOSMO","Hedgehog signaling pathway","hsa04340"
"292","Q7Z7M0","MEGF8","Hedgehog signaling pathway","hsa04340"
"293","O60291","MGRN1","Hedgehog signaling pathway","hsa04340"
"294","Q9HCP6","HHATL","Hedgehog signaling pathway","hsa04340"
"295","P01137","TGFB1","TGF-beta signaling pathway","hsa04350"
"296","Q7Z4P5","GDF7","TGF-beta signaling pathway","hsa04350"
"297","P08476","INHBA","TGF-beta signaling pathway","hsa04350"
"298","Q96S42","NODAL","TGF-beta signaling pathway","hsa04350"
"299","Q15797","SMAD1","TGF-beta signaling pathway","hsa04350"
"300","Q15796","SMAD2","TGF-beta signaling pathway","hsa04350"
"301","P01106","MYC","TGF-beta signaling pathway","hsa04350"
"302","O43541","SMAD6","TGF-beta signaling pathway","hsa04350"
"303","Q9H2X0","CHRD","TGF-beta signaling pathway","hsa04350"
"304","Q13253","NOG","TGF-beta signaling pathway","hsa04350"
"305","P07996","THBS1","TGF-beta signaling pathway","hsa04350"
"306","Q14766","LTBP1","TGF-beta signaling pathway","hsa04350"
"307","P07585","DCN","TGF-beta signaling pathway","hsa04350"
"308","O75610","LEFTY1","TGF-beta signaling pathway","hsa04350"
"309","P19883","FST","TGF-beta signaling pathway","hsa04350"
"310","O95405","ZFYVE9","TGF-beta signaling pathway","hsa04350"
"311","P61586","RHOA","TGF-beta signaling pathway","hsa04350"
"312","P37173","TGFBR2","TGF-beta signaling pathway","hsa04350"
"313","Q13145","BAMBI","TGF-beta signaling pathway","hsa04350"
"314","Q06828","FMOD","TGF-beta signaling pathway","hsa04350"
"315","O60565","GREM1","TGF-beta signaling pathway","hsa04350"
"316","P12643","BMP2","TGF-beta signaling pathway","hsa04350"
"317","P09529","INHBB","TGF-beta signaling pathway","hsa04350"
"318","P36894","BMPR1A","TGF-beta signaling pathway","hsa04350"
"319","Q92859","NEO1","TGF-beta signaling pathway","hsa04350"
"320","Q6NW40","RGMB","TGF-beta signaling pathway","hsa04350"
"321","P01579","IFNG","TGF-beta signaling pathway","hsa04350"
"322","P01375","TNF","TGF-beta signaling pathway","hsa04350"
"323","P28482","MAPK1","TGF-beta signaling pathway","hsa04350"
"324","P36897","TGFBR1","TGF-beta signaling pathway","hsa04350"
"325","Q04771","ACVR1","TGF-beta signaling pathway","hsa04350"
"326","Q8NER5","ACVR1C","TGF-beta signaling pathway","hsa04350"
"327","P67775","PPP2CA","TGF-beta signaling pathway","hsa04350"
"328","P82279","CRB1","Hippo signaling pathway","hsa04390"
"329","P12830","CDH1","Hippo signaling pathway","hsa04390"
"330","Q8TEW0","PARD3","Hippo signaling pathway","hsa04390"
"331","P42127","ASIP","Hippo signaling pathway","hsa04390"
"332","Q9NPB6","PARD6A","Hippo signaling pathway","hsa04390"
"333","Q8NI35","PATJ","Hippo signaling pathway","hsa04390"
"334","Q8N3R9","PALS1","Hippo signaling pathway","hsa04390"
"335","Q4VCS5","AMOT","Hippo signaling pathway","hsa04390"
"336","P67775","PPP2CA","Hippo signaling pathway","hsa04390"
"337","Q9NRM7","LATS2","Hippo signaling pathway","hsa04390"
"338","Q13188","STK3","Hippo signaling pathway","hsa04390"
"339","P46937","YAP1","Hippo signaling pathway","hsa04390"
"340","P01137","TGFB1","Hippo signaling pathway","hsa04390"
"341","Q7Z4P5","GDF7","Hippo signaling pathway","hsa04390"
"342","Q9ULW2","FZD10","Hippo signaling pathway","hsa04390"
"343","P36897","TGFBR1","Hippo signaling pathway","hsa04390"
"344","Q15796","SMAD2","Hippo signaling pathway","hsa04390"
"345","P35222","CTNNB1","Hippo signaling pathway","hsa04390"
"346","P35221","CTNNA1","Hippo signaling pathway","hsa04390"
"347","P27348","YWHAQ","Hippo signaling pathway","hsa04390"
"348","Q6ZTQ3","RASSF6","Hippo signaling pathway","hsa04390"
"349","Q9NS23","RASSF1","Hippo signaling pathway","hsa04390"
"350","P60709","ACTB","Hippo signaling pathway","hsa04390"
"351","Q15797","SMAD1","Hippo signaling pathway","hsa04390"
"352","P36894","BMPR1A","Hippo signaling pathway","hsa04390"
"353","Q9UKB1","FBXW11","Hippo signaling pathway","hsa04390"
"354","Q9NS23","RASSF1","Hippo signaling pathway - multiple species","hsa04392"
"355","Q6ZTQ3","RASSF6","Hippo signaling pathway - multiple species","hsa04392"
"356","Q9H2L5","RASSF4","Hippo signaling pathway - multiple species","hsa04392"
"357","Q13188","STK3","Hippo signaling pathway - multiple species","hsa04392"
"358","Q9NRM7","LATS2","Hippo signaling pathway - multiple species","hsa04392"
"359","P46937","YAP1","Hippo signaling pathway - multiple species","hsa04392"
"360","Q13153","PAK1","Hippo signaling pathway - multiple species","hsa04392"
"361","P19174","PLCG1","VEGF signaling pathway","hsa04370"
"362","P42336","PIK3CA","VEGF signaling pathway","hsa04370"
"363","P15692","VEGFA","VEGF signaling pathway","hsa04370"
"364","P35968","KDR","VEGF signaling pathway","hsa04370"
"365","P12931","SRC","VEGF signaling pathway","hsa04370"
"366","P17252","PRKCA","VEGF signaling pathway","hsa04370"
"367","P01112","HRAS","VEGF signaling pathway","hsa04370"
"368","P01116","KRAS","VEGF signaling pathway","hsa04370"
"369","P28482","MAPK1","VEGF signaling pathway","hsa04370"
"370","P60953","CDC42","VEGF signaling pathway","hsa04370"
"371","Q9NRA0","SPHK2","VEGF signaling pathway","hsa04370"
"372","P04049","RAF1","VEGF signaling pathway","hsa04370"
"373","Q02750","MAP2K1","VEGF signaling pathway","hsa04370"
"374","Q16539","MAPK14","VEGF signaling pathway","hsa04370"
"375","Q16644","MAPKAPK3","VEGF signaling pathway","hsa04370"
"376","Q9Y243","AKT3","VEGF signaling pathway","hsa04370"
"377","Q08209","PPP3CA","VEGF signaling pathway","hsa04370"
"378","O00622","CCN1","VEGF signaling pathway","hsa04370"
"379","Q13469","NFATC2","VEGF signaling pathway","hsa04370"
"380","Q02156","PRKCE","Apelin signaling pathway","hsa04371"
"381","P62070","RRAS2","Apelin signaling pathway","hsa04371"
"382","Q8TD86","CALML6","Apelin signaling pathway","hsa04371"
"383","P23443","RPS6KB1","Apelin signaling pathway","hsa04371"
"384","O14775","GNB5","Apelin signaling pathway","hsa04371"
"385","P0DMC3","APELA","Apelin signaling pathway","hsa04371"
"386","P36897","TGFBR1","Apelin signaling pathway","hsa04371"
"387","A8MW95","BECN2","Apelin signaling pathway","hsa04371"
"388","P17612","PRKACA","Apelin signaling pathway","hsa04371"
"389","P04049","RAF1","Apelin signaling pathway","hsa04371"
"390","Q86YV6","MYLK4","Apelin signaling pathway","hsa04371"
"391","Q02750","MAP2K1","Apelin signaling pathway","hsa04371"
"392","P28482","MAPK1","Apelin signaling pathway","hsa04371"
"393","P42345","MTOR","Apelin signaling pathway","hsa04371"
"394","Q5UE93","PIK3R6","Apelin signaling pathway","hsa04371"
"395","Q9Y243","AKT3","Apelin signaling pathway","hsa04371"
"396","P05121","SERPINE1","Apelin signaling pathway","hsa04371"
"397","Q16566","CAMK4","Apelin signaling pathway","hsa04371"
"398","P35414","APLNR","Apelin signaling pathway","hsa04371"
"399","Q15796","SMAD2","Apelin signaling pathway","hsa04371"
"400","Q99570","PIK3R4","Apelin signaling pathway","hsa04371"
"401","P78504","JAG1","Apelin signaling pathway","hsa04371"
"402","P18146","EGR1","Apelin signaling pathway","hsa04371"
"403","Q9UK10","ZNF225","Apelin signaling pathway","hsa04371"
"404","Q9UGJ0","PRKAG2","Apelin signaling pathway","hsa04371"
"405","Q9UBK2","PPARGC1A","Apelin signaling pathway","hsa04371"
"406","Q9Y5W3","KLF2","Apelin signaling pathway","hsa04371"
"407","Q9UQL6","HDAC5","Apelin signaling pathway","hsa04371"
"408","Q02080","MEF2B","Apelin signaling pathway","hsa04371"
"409","Q14344","GNA13","Apelin signaling pathway","hsa04371"
"410","P30556","AGTR1","Apelin signaling pathway","hsa04371"
"411","Q13007","IL24","JAK-STAT signaling pathway","hsa04630"
"412","P26441","CNTF","JAK-STAT signaling pathway","hsa04630"
"413","Q07889","SOS1","JAK-STAT signaling pathway","hsa04630"
"414","P14210","HGF","JAK-STAT signaling pathway","hsa04630"
"415","P01112","HRAS","JAK-STAT signaling pathway","hsa04630"
"416","P23458","JAK1","JAK-STAT signaling pathway","hsa04630"
"417","P42336","PIK3CA","JAK-STAT signaling pathway","hsa04630"
"418","Q9Y243","AKT3","JAK-STAT signaling pathway","hsa04630"
"419","Q969J5","IL22RA2","JAK-STAT signaling pathway","hsa04630"
"420","P17706","PTPN2","JAK-STAT signaling pathway","hsa04630"
"421","P29350","PTPN6","JAK-STAT signaling pathway","hsa04630"
"422","Q9NSE2","CISH","JAK-STAT signaling pathway","hsa04630"
"423","Q8WXH5","SOCS4","JAK-STAT signaling pathway","hsa04630"
"424","O75886","STAM2","JAK-STAT signaling pathway","hsa04630"
"425","P01133","EGF","JAK-STAT signaling pathway","hsa04630"
"426","O43561","LAT","NF-kappa B signaling pathway","hsa04064"
"427","P01584","IL1B","NF-kappa B signaling pathway","hsa04064"
"428","P01375","TNF","NF-kappa B signaling pathway","hsa04064"
"429","O95786","DDX58","NF-kappa B signaling pathway","hsa04064"
"430","P08571","CD14","NF-kappa B signaling pathway","hsa04064"
"431","P29965","CD40LG","NF-kappa B signaling pathway","hsa04064"
